Incident_ID,Date,Quarter,State,School_Level
20200727AZCAO,2020-07-27,Summer,Arizona,High
20200721SCBRO,2020-07-21,Summer,South Carolina,Elementary
20200714MIWID,2020-07-14,Summer,Michigan,Elementary
20200704INLAM,2020-07-04,Summer,Indiana,Elementary
20200701ILFRP,2020-07-01,Summer,Illinois,Elementary
20200627VAHAS,2020-06-27,Summer,Virginia,Middle
20200621INCOC,2020-06-21,Summer,Indiana,High
20200618INJOI,2020-06-18,Summer,Indiana,Elementary
20200616FLTOM,2020-06-16,Summer,Florida,Elementary
20200603IAGAD,2020-06-03,Summer,Iowa,Elementary
20200527OHLUC,2020-05-27,Spring,Ohio,Middle
20200525ALORM,2020-05-25,Spring,Alabama,Elementary
20200522OHMIC,2020-05-22,Spring,Ohio,Elementary
20200519VAWEM,2020-05-19,Spring,Virginia,Elementary
20200515NCSTC,2020-05-15,Spring,North Carolina,High
20200505CAGOV,2020-05-05,Spring,California,High
20210505SCWAW,2021-05-05,Spring,South Carolina,High
20200413NEMOO,2020-04-13,Spring,Nebraska,Middle
20200330GANAS,2020-03-30,Spring,Georgia,Elementary
20200324LAROM,2020-03-24,Spring,Louisiana,Elementary
20200318LABOS,2020-03-18,Spring,Louisiana,High
20200315TXATH,2020-03-15,Spring,Texas,High
20200313TNPIR,2020-03-13,Spring,Tennessee,Elementary
20200310PASHN,2020-03-10,Spring,Pennsylvania,Elementary
20200305FLSAW,2020-03-05,Spring,Florida,K-12
20200302TXNOF,2020-03-02,Spring,Texas,High
20200221NMCEA,2020-02-21,Winter,New Mexico,Other
20200215DCDUW,2020-02-15,Winter,Washington,High
20200212MOJOF,2020-02-12,Winter,Missouri,Elementary
20200205NHSEC,2020-02-05,Winter,New Hampshire,High
20200204LABEA,2020-02-04,Winter,Louisiana,High
20200203FLGEJ,2020-02-03,Winter,Florida,Elementary
20200201TXHIH,2020-02-01,Winter,Texas,Elementary
20200131CADEA,2020-01-31,Winter,California,High
20200128TXLUL,2020-01-28,Winter,Texas,High
20200128TNWHM,2020-01-28,Winter,Tennessee,High
20200128NYMAQ,2020-01-28,Winter,New York,High
20200127WAROY,2020-01-27,Winter,Washington,Elementary
20200123CAOXO,2020-01-23,Winter,California,Elementary
20200121NEPAL,2020-01-21,Winter,Nebraska,Middle
20200121ILLIC,2020-01-21,Winter,Illinois,High
20200119TXNOF,2020-01-19,Winter,Texas,High
20200117SCCAS,2020-01-17,Winter,South Carolina,High
20200117MITHH,2020-01-17,Winter,Michigan,Elementary
20200114TXPOM,2020-01-14,Winter,Texas,High
20200114TXBEH,2020-01-14,Winter,Texas,High
